# index, id, class, gender, _pos
86,226,2BIO2,F,"array([-12.6371455 ,  11.42441937])"
87,227,PSI*,M,"array([54.4273291, -0.4159174])"
88,232,PC,F,"array([14.96144363, 25.47485086])"
89,236,MP*1,M,"array([40.33310906, -1.57816821])"
90,239,2BIO2,F,"array([-12.93203448,   1.23260328])"
91,240,2BIO3,F,"array([15.16740882, 16.65593318])"
92,241,PSI*,M,"array([ 26.09286454, -20.60848754])"
93,242,PC,F,"array([-16.81885643,  40.06602031])"
94,243,MP,Unknown,"array([57.26737064, 12.08678874])"
95,245,MP,F,"array([22.42078378, 29.86388875])"
96,246,PSI*,M,"array([16.98772949, 34.6347452 ])"
97,248,PSI*,M,"array([-2.72844461, -9.54143173])"
98,252,2BIO3,F,"array([ -5.54107341, -20.27319116])"
99,253,PC,M,"array([52.60388184, 26.42013667])"
100,254,PC*,M,"array([ 25.95638597, -10.14909899])"
101,255,2BIO3,F,"array([-16.30327232,  50.38923932])"
102,256,PC*,M,"array([31.07153061, -2.39616176])"
103,257,2BIO2,F,"array([-20.44823501,  35.8428338 ])"
104,258,PC*,F,"array([-8.95819267, 21.24650258])"
105,265,2BIO3,F,"array([18.6633103 , 16.66617748])"
106,267,PC*,M,"array([21.55632288, 53.54181688])"
107,268,2BIO2,F,"array([-8.4250024 , 15.58086106])"
108,269,PC*,M,"array([10.21891164, 64.45187602])"
109,272,2BIO3,F,"array([20.10032675, 18.81656902])"
110,274,MP*1,M,"array([19.68819507, 23.39853046])"
111,275,2BIO3,F,"array([15.59950163, 19.41901401])"
112,276,PC*,M,"array([62.99011526, 21.00264787])"
113,277,MP*1,F,"array([ 41.66027685, -19.3766779 ])"
114,279,MP*1,M,"array([-9.3921114 , 32.35759276])"
115,280,MP*1,F,"array([20.80441487, 22.65587239])"
116,285,PC,F,"array([61.75191206,  8.04988437])"
117,290,MP*1,M,"array([16.70823877, 26.97298007])"
118,295,2BIO2,F,"array([  6.47827515, -13.8930685 ])"
119,306,PSI*,M,"array([-13.91425063,  22.8918858 ])"
120,311,PC,M,"array([-3.37503296, 41.22130066])"
121,312,2BIO2,F,"array([37.3354146 , 47.49939187])"
122,322,PC,M,"array([-15.18883982, -12.95257498])"
123,325,PSI*,M,"array([24.3922557 , 26.19876818])"
124,327,2BIO2,M,"array([ 0.57465813, -5.54548755])"
125,333,PSI*,F,"array([ -0.19523864, -16.38717829])"
126,335,PC*,M,"array([21.92083857, 33.06057453])"
127,339,2BIO2,F,"array([23.06551219, 17.03581428])"
128,343,PC*,F,"array([17.11866565, 23.46748751])"
129,346,2BIO3,F,"array([14.32286452, 19.99337643])"
130,353,2BIO2,M,"array([12.75277698, 16.40854354])"
131,356,PC*,M,"array([46.50665443, 17.94610984])"
132,364,2BIO3,F,"array([17.41405173, 19.4010699 ])"
133,366,MP*1,M,"array([ 41.25899129, -13.3365368 ])"
134,372,2BIO2,M,"array([19.72590547, 16.45825621])"
135,374,2BIO3,F,"array([-18.62821516,  25.76418179])"
136,376,MP*1,M,"array([24.07510253, 28.10240568])"
137,382,PC*,M,"array([40.95272609, 43.40094065])"
138,387,MP*1,M,"array([18.87831393, 27.54039217])"
139,388,PC,F,"array([15.10380767, -6.08762202])"
140,390,PC*,M,"array([ 31.44201803, -18.65374767])"
141,391,MP*1,F,"array([ 21.75037064, -16.60226366])"
142,400,2BIO1,F,"array([44.62938344, 39.56135332])"
143,407,2BIO2,M,"array([ 36.49490912, -16.25710079])"
144,413,PC,M,"array([-19.98109762,  45.57419901])"
145,420,MP,Unknown,"array([ 16.56494391, -16.45045695])"
146,424,PSI*,M,"array([-9.95721583, -2.88522658])"
147,425,2BIO3,F,"array([15.87941508, 18.2373321 ])"
148,428,2BIO1,M,"array([13.76576948, 17.8093332 ])"
149,429,2BIO2,M,"array([16.87508241, 15.37393218])"
150,434,PSI*,F,"array([-22.43737453,  -3.45814761])"
151,435,MP*1,M,"array([59.82093896,  1.20483064])"
152,438,MP*1,M,"array([57.75784817, 18.07757468])"
153,440,PSI*,F,"array([22.05272979, 28.08736821])"
154,441,2BIO2,F,"array([16.97374362, 16.43199602])"
155,443,2BIO1,F,"array([57.00581812, 30.10523659])"
156,445,MP*1,M,"array([-25.37265125,   1.92476872])"
157,446,PSI*,M,"array([ 9.7747405 , -4.65262337])"
158,447,2BIO3,F,"array([15.14795303, 17.54823778])"
159,448,PC,M,"array([14.41042735, 22.98321261])"
160,450,PC,F,"array([45.79903156, -9.85669448])"
161,452,PSI*,M,"array([20.55108191, 31.73972283])"
162,453,PC,M,"array([52.3082786, 20.8584032])"
163,454,MP,F,"array([15.97945424, 32.170969  ])"
164,464,2BIO2,F,"array([ 30.4876497 , -24.58443327])"
165,465,2BIO1,F,"array([44.75258669, -4.23913541])"
166,466,MP*1,M,"array([24.18543323, 29.0123573 ])"
167,468,PC,F,"array([-12.99887678,  -7.43613622])"
168,471,2BIO1,F,"array([21.53047612, 16.80149913])"
169,475,2BIO1,M,"array([-28.70818367,  20.94797216])"
170,477,2BIO2,M,"array([22.13899772, 16.12917872])"
171,478,2BIO2,F,"array([-21.64696437,   6.33176723])"
172,480,PC,M,"array([22.44504287, 64.4896381 ])"
173,484,MP*1,M,"array([-10.13050695,   6.11839508])"
174,486,2BIO1,F,"array([ 11.33158455, -15.70603104])"
175,487,2BIO1,F,"array([20.32929665, 15.57576685])"
176,488,PC,M,"array([24.65113682, 22.57582191])"
177,489,2BIO1,F,"array([-5.76241471, 52.62019014])"
178,491,PSI*,F,"array([15.10203926, 29.02947477])"
179,492,PC,M,"array([48.87266412, -0.66261847])"
180,494,2BIO3,M,"array([21.34543168, 18.95554712])"
181,496,PC,M,"array([18.42352623, 34.94910711])"
182,497,MP*1,M,"array([-28.24751834,  27.58589028])"
183,498,2BIO1,F,"array([-23.0111827 ,  12.04949704])"
184,502,MP,F,"array([21.52590526, 31.43914067])"
185,504,2BIO2,F,"array([20.28674645, 17.08340473])"
186,510,MP*1,M,"array([ 14.62254786, -21.3334894 ])"
187,513,MP*1,M,"array([19.11568959, 33.19994935])"
188,520,MP,F,"array([16.25517388, 25.90596904])"
189,525,MP,F,"array([21.21411396, 28.45373919])"
190,527,2BIO1,M,"array([47.30324071, 28.70883438])"
191,531,2BIO1,F,"array([57.00648986, 42.16090129])"
192,533,PC*,M,"array([-18.63080587,  20.31360392])"
193,544,2BIO2,M,"array([15.99339451, 16.14388049])"
194,545,2BIO3,F,"array([16.48706535, 18.74271884])"
195,548,PC*,F,"array([-15.37376418,   5.66971586])"
196,564,MP,M,"array([21.8593522, 29.3117128])"
197,576,MP,F,"array([14.07388001, 26.63038798])"
198,577,MP,F,"array([21.34607578, 30.58792094])"
199,582,MP,M,"array([17.94375516, 30.82577432])"
200,587,2BIO3,F,"array([17.8630866 , 17.69342053])"
201,601,PC,F,"array([14.1373934 , 12.91232696])"
202,603,PC*,M,"array([-18.16266053,  15.04317119])"
203,605,MP,M,"array([17.473276  , 28.11326169])"
204,612,2BIO2,F,"array([30.98368452, -7.96242727])"
205,615,PSI*,M,"array([19.98665692, 32.58402982])"
206,621,PC*,M,"array([10.96884528, 24.75480375])"
207,622,PSI*,M,"array([ 10.57712695, -10.30251208])"
208,624,PSI*,M,"array([25.42109012, 27.49280844])"
209,626,2BIO3,F,"array([ -0.34395884, -22.51012256])"
210,627,2BIO1,F,"array([56.35221318,  5.86062851])"
211,634,MP,M,"array([18.72186623, 28.5813339 ])"
212,637,2BIO1,F,"array([50.55140058, 42.51311026])"
213,638,MP*1,M,"array([25.53184123, 29.98254399])"
214,640,MP,M,"array([14.130382  , 32.60249187])"
215,642,MP,M,"array([20.14280055, 28.86095006])"
216,647,PSI*,F,"array([-18.98857203,   1.44694977])"
217,649,2BIO3,F,"array([14.82780573, 18.54362707])"
218,650,2BIO1,F,"array([12.77826406, 17.50116091])"
219,653,2BIO3,M,"array([16.63531231, 17.71566668])"
220,655,MP*1,M,"array([40.45248574,  5.42358094])"
221,658,MP,M,"array([ 31.47540326, -13.15339041])"
222,674,2BIO1,F,"array([-23.42916664,  17.7274098 ])"
223,677,2BIO1,M,"array([-23.42931661,  40.70447194])"
224,681,2BIO1,F,"array([-7.02060642, 10.39828476])"
225,687,MP,M,"array([16.65175544, 29.74742944])"
226,691,MP,M,"array([19.49144636, 29.26158842])"
227,694,MP,F,"array([23.38486698, 29.45117339])"
228,702,MP*1,M,"array([-6.72537272, 58.51661491])"
229,706,PC,F,"array([48.13742855, 12.92984339])"
230,720,2BIO2,F,"array([-26.2583385 ,  34.55475559])"
231,725,2BIO1,M,"array([18.13383578, 15.39825473])"
232,743,PC,M,"array([-8.51797608, 43.35879484])"
233,744,PC*,M,"array([-10.7204319 , -17.18986406])"
234,751,PC,M,"array([15.92804278, 53.55409563])"
235,753,MP,F,"array([17.61449541, 29.00440699])"
236,763,2BIO2,F,"array([13.99720877, 14.82916073])"
237,765,PC*,F,"array([28.37830498, 63.43343356])"
238,769,PSI*,M,"array([25.96815955, 29.07541273])"
239,771,PC,M,"array([  4.95830639, -24.95185343])"
240,777,MP*1,F,"array([17.88291279, 25.88463775])"
241,778,2BIO3,F,"array([50.22690056, -5.91228818])"
242,779,2BIO3,F,"array([20.87474863, 17.94048259])"
243,784,PC*,F,"array([ 5.6285834 , 49.68526397])"
244,786,PC*,M,"array([47.19295842, 23.27580659])"
245,790,PSI*,M,"array([35.88878759, -5.01520581])"
246,791,PC,M,"array([-6.9387813 , -6.87288941])"
247,797,PSI*,F,"array([23.4715962 , 30.58683453])"
248,798,PSI*,M,"array([ 4.78149347, 62.13208883])"
249,809,2BIO1,F,"array([ 20.21583626, -21.61882642])"
250,826,PC,M,"array([22.02130385, 35.1795238 ])"
251,836,PC*,F,"array([23.56181638, 33.11273265])"
252,841,MP*1,M,"array([24.70723301, 29.99115378])"
253,843,PC*,F,"array([-27.43276879,   8.09089066])"
254,845,PC,F,"array([-0.93323346, 56.24719526])"
255,854,2BIO1,F,"array([ 36.21313699, -22.26707219])"
256,857,2BIO1,F,"array([22.03976861, 17.78198723])"
257,859,2BIO1,M,"array([22.61680744, 18.60669597])"
258,866,MP,M,"array([17.78441712, 29.81870883])"
259,867,PC*,F,"array([62.72055607, 14.53374254])"
260,869,MP,M,"array([19.52148964, 31.53391122])"
261,871,2BIO3,M,"array([18.64737071, 17.39628731])"
262,874,MP,F,"array([-11.74342025,  54.68616607])"
263,882,PC,M,"array([ 9.18922867, 58.11310985])"
264,883,2BIO3,F,"array([18.83829854, 20.14913062])"
265,884,2BIO2,F,"array([20.82392041, 16.3550492 ])"
266,886,2BIO2,F,"array([32.03806219, 56.38287022])"
267,893,PSI*,M,"array([55.9135044 , 36.73432629])"
268,894,2BIO3,F,"array([ 5.57970303, -7.99227333])"
269,908,MP*1,F,"array([13.38071126, 28.00705568])"
270,909,PSI*,M,"array([-19.19029402,  -8.4408561 ])"
271,917,PSI*,M,"array([51.83510568, 32.16821159])"
272,920,PSI*,F,"array([ -9.33729202, -11.57760064])"
273,921,PSI*,F,"array([  9.2181045 , -20.52730433])"
274,923,PC*,M,"array([18.20872695, 23.90527706])"
275,927,2BIO1,F,"array([ 4.46852522, -2.11755659])"
276,938,PC*,M,"array([ 4.5050733 , 55.51436753])"
277,939,2BIO3,M,"array([16.51883965, 19.57288103])"
278,941,PC*,F,"array([17.17541909, 10.94667463])"
279,945,2BIO1,F,"array([12.30066195, 18.43484555])"
280,954,2BIO1,F,"array([12.64415941, 14.10087991])"
281,958,MP*1,F,"array([32.58903902, 50.45513166])"
282,959,PSI*,M,"array([19.88104128, 27.95509511])"
283,960,PSI*,M,"array([-13.54739117,  28.36729097])"
284,970,2BIO1,F,"array([21.28956753, 12.46169761])"
285,974,MP*1,M,"array([46.64163156,  6.95112836])"
286,977,PSI*,M,"array([18.75039593, 32.23319213])"
287,979,2BIO2,Unknown,"array([ 0.95112999, 45.38790777])"
288,984,2BIO1,F,"array([11.98310183, 19.75134527])"
289,991,2BIO1,M,"array([15.55786403, 22.58980268])"
290,998,PC,M,"array([ 20.91191183, -11.62952335])"
291,1067,MP*2,M,"array([23.12287835, 27.58402605])"
292,1201,MP*2,F,"array([23.63259354, 24.67492374])"
293,1204,MP*2,M,"array([-3.95861805,  5.69322513])"
294,1212,MP*2,M,"array([22.85118267, 23.60764244])"
295,1214,MP*2,M,"array([21.21340977, 24.68018818])"
296,1216,MP*2,M,"array([ 51.60437482, -11.41832669])"
297,1218,MP*2,M,"array([22.06010513, 27.25562273])"
298,1228,MP*2,M,"array([21.05195069, 26.21012303])"
299,1232,MP*2,M,"array([20.38469649, 29.87351542])"
300,1237,MP*2,M,"array([23.47021974, 26.45036209])"
301,1238,MP*2,M,"array([15.87526525, 28.32324266])"
302,1260,MP*2,M,"array([19.23486297, 26.2062854 ])"
303,1295,MP*2,M,"array([48.86112955, 51.63951905])"
304,1320,MP*2,M,"array([40.5643157 , -7.63114773])"
305,1324,MP*2,M,"array([-17.7067045 ,  10.07378992])"
306,1332,MP*2,F,"array([20.88944167, 27.68657433])"
307,1336,MP*2,M,"array([26.38549211, 28.07944912])"
308,1339,MP*2,M,"array([21.60111701, 23.75681992])"
309,1342,MP*2,F,"array([45.48304621, 34.00672385])"
310,1345,MP*2,M,"array([14.41741984, 59.14115112])"
311,1359,MP*2,M,"array([ 46.74434076, -15.73405959])"
312,1366,MP*2,M,"array([53.26413347, 47.54344908])"
313,1383,MP*2,M,"array([42.60397435, 50.14866092])"
314,1401,MP*2,M,"array([22.03922398, 26.2237222 ])"
315,1412,MP*2,F,"array([-0.39796788,  1.24174089])"
316,1423,MP*2,M,"array([24.02260939, 27.08827624])"
317,1485,MP*2,M,"array([ 0.07781492, 50.92989822])"
318,1512,MP*2,M,"array([-8.34762392, 26.984597  ])"
319,1518,MP*2,M,"array([ -4.88093296, -14.44402883])"
320,1519,MP*2,M,"array([ 11.18801518, -26.19081338])"
321,1543,MP*2,M,"array([15.57538844, 27.10101788])"
322,1594,MP*2,F,"array([20.34083085, 25.0185772 ])"
323,1784,MP*2,M,"array([14.72563503, 27.8479651 ])"
324,1805,MP*2,M,"array([-0.87177492, 61.80266117])"
325,1819,MP*2,M,"array([-23.04140417,  29.6265696 ])"
326,1828,MP*2,M,"array([22.35770991, 24.682116  ])"
327,1870,MP*2,M,"array([20.33935464, 30.80736209])"
328,1894,MP*2,F,"array([20.43505178, -6.36175597])"
